Particle Metric 
1 0.012357461320440377 
2 0.02461217123316527 
3 0.013732171172558273 
4 0.02323929535255145 
5 0.019968728062397495 
6 0.012287030287903802 
7 0.013598391428201616 
8 0.0179853635314366 
9 0.019727594361470403 
10 0.01731810433330062 
11 0.01884062886802248 
12 0.02176758209753662 
13 0.018689215012046533 
14 0.019017087332972374 
15 0.016633217803883125 
16 0.015001625975033543 
17 0.01141192086394999 
18 0.01622133043417891 
19 0.014309850087088296 
20 0.03065508675157 
21 0.016414673607751812 
22 0.02366359041044134 
23 0.05133049277858526 
24 0.02003148306068936 
25 0.03186133924394741 
26 0.027318945903035435 
27 0.019452482127816927 
28 0.05124300301387607 
29 0.018960973600691548 
30 0.02118204203035553 
31 0.026106915399032968 
32 0.018758364049095904 
33 0.020086289838625915 
34 0.02398827758113959 
35 0.022974779082747157 
36 0.03600955237269955 
37 0.03852537735891522 
38 0.02434854637025947 
39 0.020783147563351884 
40 0.025908626482534194 
41 0.030519088541884547 
42 0.021525904572535868 
43 0.019502098102070705 
44 0.028482095589808496 
45 0.019830418618266326 
46 0.02667071285683648 
47 0.02348402023474819 
48 0.024540359495256625 
49 0.03215673373481744 
50 0.019342938277575463 
51 0.025737595045111594 
52 0.022981633534232042 
53 0.021686441671066734 
54 0.024539768996551144 
55 0.022790908172869665 
56 0.01683040199331438 
57 0.021993426956040573 
58 0.017064368189373583 
59 0.02470720904262415 
60 0.0287383789809014 
61 0.020413865802529275 
62 0.02002725535556133 
63 0.020523304789944748 
64 0.019435824760220856 
65 0.018550087646149287 
66 0.017416984956908084 
67 0.013739203127972199 
68 0.012354113376904702 
69 0.012166798355453933 
70 0.019480526710150804 
71 0.017296042203054952 
72 0.01927302281602341 
73 0.024867378615602644 
74 0.01666675833692008 
75 0.0224220969485518 
76 0.04028553098947543 
77 0.022604986327654016 
78 0.02288645553607376 
79 0.030559052809827094 
80 0.02550758254986569 
81 0.034082586006502144 
82 0.021967095684971377 
83 0.027588134983812813 
84 0.02101313948319294 
85 0.022786707587633917 
86 0.02472861172942534 
87 0.03548831960292544 
88 0.026192106949358432 
89 0.019759632597274864 
90 0.026519468913695825 
91 0.025356152586191824 
92 0.022416475454512235 
93 0.03397681191844448 
94 0.020618776112359016 
95 0.021791257937525434 
96 0.022517178650017993 
97 0.020021354738909636 
98 0.02585023007168348 
99 0.03329285206412955 
