Particle Metric
1 0.023810991152395287
2 0.02059038831596242
3 0.017648735960954356
4 0.023944881403425284
5 0.023072447670049245
6 0.01944394695306738
7 0.016519613255236695
8 0.023414835110161836
9 0.022455834460710512
10 0.020999184582543812
11 0.019717059692351747
12 0.027249354166828027
13 0.014632431388111
14 0.020621857330757522
15 0.0310317958715187
16 0.019242937175459798
17 0.02821591821666606
18 0.023399173653493515
19 0.028100100220685435
20 0.024994414791701267
21 0.02035871300808689
22 0.027452121704879984
23 0.022524500552222628
24 0.029567466684601945
25 0.022434443371402556
26 0.023611395428808395
27 0.014540433400921949
28 0.023700029045190325
29 0.02145470233641908
30 0.020295581476515858
31 0.02651911719075011
32 0.029979528779013005
33 0.033800508684258976
34 0.041762083840853684
35 0.026528891674294126
36 0.036495981358669785
37 0.03796896938215796
38 0.02818714393132875
39 0.029127973280435173
40 0.03214902966830266
41 0.03414442692007347
42 0.034855181162095385
43 0.031041520125714955
44 0.05070878780262042
45 0.02869217154807672
46 0.02942446411614
47 0.05543556163093912
48 0.025000247638152718
49 0.03455370901066368
50 0.04345053682383621
51 0.01930975331478673
52 0.033916053708193526
53 0.03235516899749804
54 0.016056375058174425
55 0.03662401221039571
56 0.040678922829954604
57 0.037583471022382166
58 0.02356295419749993
59 0.027941694786668046
60 0.02751597256018332
61 0.017723600876504736
62 0.026983649659107174
63 0.023970723934698228
64 0.02769973641369139
65 0.02335094830861982
66 0.03483889333737677
67 0.02826704999284728
68 0.021543091135422666
69 0.019696206934105516
70 0.02950830783410648
71 0.02278854921000994
72 0.016734493233801807
73 0.023106433906701928
74 0.02010327981865432
75 0.02682043377557917
76 0.024383607642478565
77 0.01896398544769806
78 0.020736796445170905
79 0.01731372490011691
80 0.024953949170829343
81 0.03005596005512429
82 0.02490507906846329
83 0.021331943729582956
84 0.033560819720367376
85 0.03520273636941047
86 0.023509660215508134
87 0.018186688516736858
88 0.026668764635930844
89 0.02268891471667874
90 0.02647306993720357
91 0.026721029366816838
92 0.022123388197179097
93 0.012895369196501876
94 0.018042640178000075
95 0.014450934995275718
96 0.01858962375830724
97 0.019902983205450447
98 0.014151596621101813
